                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.96628,                0.43424,                  1.363,                0.98305,                0.95189,                0.98099,                0.69413,                 1.1253,                0.39215,                 1.5546,               0.002278,               0.002278,               0.002278
                     81,                0.96643,                0.43313,                 1.3662,                0.98305,                0.95194,                0.98108,                0.69548,                 1.1253,                0.39146,                 1.5548,               0.002179,               0.002179,               0.002179
                     82,                0.95652,                0.42641,                 1.3637,                0.98353,                0.95232,                0.98108,                0.69561,                 1.1254,                0.39122,                  1.555,                0.00208,                0.00208,                0.00208
                     83,                0.95025,                0.42642,                 1.3546,                0.98353,                0.95224,                0.98124,                0.69653,                 1.1248,                0.39065,                 1.5546,               0.001981,               0.001981,               0.001981
                     84,                0.95298,                0.42593,                 1.3537,                  0.984,                0.95221,                0.98127,                0.69618,                 1.1246,                0.38964,                 1.5542,               0.001882,               0.001882,               0.001882
                     85,                0.95283,                0.42223,                 1.3528,                0.98335,                0.95263,                0.98119,                0.69641,                  1.124,                0.38927,                  1.554,               0.001783,               0.001783,               0.001783
                     86,                0.94924,                0.42165,                 1.3539,                0.98353,                 0.9522,                0.98096,                0.69617,                 1.1242,                0.38917,                 1.5541,               0.001684,               0.001684,               0.001684
                     87,                0.94314,                0.41863,                 1.3428,                0.98353,                0.95224,                0.98045,                0.69656,                  1.124,                0.38882,                 1.5537,               0.001585,               0.001585,               0.001585
                     88,                0.93894,                0.41705,                 1.3391,                0.98352,                  0.952,                0.98047,                0.69631,                 1.1236,                0.38844,                 1.5538,               0.001486,               0.001486,               0.001486
                     89,                0.93408,                 0.4138,                 1.3363,                0.98304,                 0.9518,                 0.9804,                0.69679,                 1.1234,                0.38729,                  1.554,               0.001387,               0.001387,               0.001387
                     90,                0.93303,                0.41244,                  1.335,                 0.9839,                0.95216,                0.98092,                 0.6972,                 1.1232,                0.38722,                 1.5541,               0.001288,               0.001288,               0.001288
                     91,                0.90807,                0.34557,                 1.3428,                0.98347,                0.95216,                0.98107,                0.69806,                 1.1228,                0.38716,                 1.5538,               0.001189,               0.001189,               0.001189
                     92,                0.89598,                0.33917,                 1.3306,                0.98475,                0.95169,                0.98157,                0.69825,                 1.1226,                 0.3865,                 1.5532,                0.00109,                0.00109,                0.00109
                     93,                0.89196,                0.33894,                 1.3325,                0.98451,                0.95169,                0.98172,                0.69861,                 1.1223,                0.38578,                 1.5532,               0.000991,               0.000991,               0.000991
                     94,                0.88532,                0.33436,                 1.3276,                 0.9843,                0.95169,                0.98185,                0.69889,                 1.1219,                0.38538,                 1.5532,               0.000892,               0.000892,               0.000892
                     95,                0.87816,                0.33223,                 1.3205,                0.97753,                0.95921,                0.98197,                0.69962,                 1.1215,                0.38508,                  1.553,               0.000793,               0.000793,               0.000793
                     96,                0.87584,                0.32982,                 1.3208,                0.97763,                0.95919,                0.98216,                 0.7001,                 1.1207,                0.38462,                 1.5525,               0.000694,               0.000694,               0.000694
                     97,                0.87068,                0.32864,                 1.3136,                0.97755,                0.95971,                0.98227,                0.70095,                 1.1203,                0.38432,                 1.5522,               0.000595,               0.000595,               0.000595
                     98,                0.86167,                0.32466,                 1.3102,                0.97756,                0.96014,                0.98231,                0.70118,                   1.12,                0.38397,                 1.5522,               0.000496,               0.000496,               0.000496
                     99,                 0.8597,                0.32293,                  1.309,                0.97714,                0.96154,                0.98246,                  0.701,                 1.1197,                0.38367,                 1.5522,               0.000397,               0.000397,               0.000397
                    100,                0.85661,                0.32193,                 1.3014,                 0.9776,                 0.9619,                0.98257,                0.70162,                 1.1192,                 0.3833,                 1.5522,               0.000298,               0.000298,               0.000298
